"LEVEL"	"TAXA"	"Project_248"	"Project_SSputum-dil-DNase-cDNA"	"Project_SSputum-dil-DNase-RAB"	"Project_SSputum-dil-no-cDNA"	"Project_SSputum-dil-no-RAB"	"Project_SSputum-DNase-cDNA"	"Project_SSputum-DNase-RAB"	"Project_SSputum-no-cDNA"	"Project_SSputum-no-RAB"
"family"	"Atopobiaceae"	10	45	112	2	0	81	105	62	0
"family"	"Bacillaceae"	0	8	4	1	0	7	8	4	0
"family"	"Bacteroidaceae"	9	20	0	25	4	31	16	85	2
"family"	"Bifidobacteriaceae"	36	9	0	26	0	31	1	128	1
"family"	"Borreliaceae"	0	0	0	0	0	0	0	3	0
"family"	"Bradyrhizobiaceae"	0	1	0	0	0	1	0	0	0
"family"	"Brucellaceae"	1	10	0	0	0	7	8	2	0
"family"	"Burkholderiaceae"	48	74	0	30	1	67	54	764	0
"family"	"Campylobacteraceae"	0	1	0	0	0	11	0	0	0
"family"	"Carnobacteriaceae"	0	11	8	1	0	26	3	2	0
"family"	"Caulobacteraceae"	0	0	0	0	0	1	0	0	0
"family"	"Cellulomonadaceae"	0	0	0	0	0	0	0	1	0
"family"	"Chromobacteriaceae"	0	0	0	0	0	1	0	0	0
"family"	"Closteroviridae"	0	0	0	0	0	6	1	0	0
"family"	"Clostridiaceae"	0	1	0	0	0	3	0	1	0
"family"	"Comamonadaceae"	1	1022	3	43	0	375	0	491	0
"family"	"Coronaviridae"	0	1031	6826	14	2	3217	15459	11	0
"family"	"Corynebacteriaceae"	2	2738	815	239	14	6885	1439	1758	14
"family"	"Cytophagaceae"	0	1	0	0	0	0	0	0	0
"family"	"Deinococcaceae"	0	2	0	0	0	0	0	0	0
"family"	"Dermacoccaceae"	0	4	0	0	0	0	0	0	0
"family"	"Desulfovibrionaceae"	0	0	0	0	0	2	0	0	0
"family"	"Ectothiorhodospiraceae"	0	0	0	0	0	1	0	0	0
"family"	"Eggerthellaceae"	4	1	0	1	0	2	0	16	0
"family"	"Enterobacteriaceae"	186	4139	2437	3287	112	9678	4592	15677	124
"family"	"Enterococcaceae"	0	181	28	246	15	394	254	474	10
"family"	"Erythrobacteraceae"	0	0	0	0	0	9	0	0	0
"family"	"Flavobacteriaceae"	0	48	108	3	1	124	194	14	0
"family"	"Fusobacteriaceae"	24	842	1409	97	0	2535	1471	154	0
"family"	"Halomonadaceae"	0	0	0	0	0	1	0	0	0
"family"	"Herpesviridae"	0	8	0	262	2	19	2	1522	3
"family"	"Hyphomicrobiaceae"	0	0	8	0	0	1	0	0	0
"family"	"Inoviridae"	0	0	104	0	0	0	13	2	0
"family"	"Iridoviridae"	0	0	0	0	0	0	0	1	0
"family"	"Jonesiaceae"	0	0	0	0	0	1	0	0	0
"family"	"Kineosporiaceae"	0	2	0	0	0	3	0	0	0
"family"	"Lachnospiraceae"	0	1	0	0	0	0	0	1	0
"family"	"Lactobacillaceae"	3	425	461	928	47	1418	1360	3088	46
"family"	"Legionellaceae"	0	3	0	0	0	10	19	0	0
"family"	"Leptotrichiaceae"	3	14	13	0	0	27	23	0	0
"family"	"Leuconostocaceae"	0	34	0	0	0	6	0	0	0
"family"	"Listeriaceae"	0	0	0	0	0	0	0	0	1
"family"	"Luteoviridae"	0	0	0	0	0	1	0	0	0
"family"	"Methylobacteriaceae"	0	118	0	1	0	32	0	0	0
"family"	"Methylophilaceae"	0	1	2	0	0	2	0	0	0
"family"	"Microbacteriaceae"	0	1	0	0	0	0	0	0	0
"family"	"Micrococcaceae"	22	675	850	222	11	1534	1190	2508	8
"family"	"Microviridae"	0	23198	45721	25107	38878	33934	62298	126558	38449
"family"	"Moraxellaceae"	0	47449	22146	4238	206	107754	23587	9804	185
"family"	"Mycobacteriaceae"	0	2	0	2	0	2	0	10	0
"family"	"Mycoplasmataceae"	0	136	178	0	0	360	673	7	2
"family"	"Myoviridae"	0	2	31	13	0	1	0	37	0
"family"	"Neisseriaceae"	1	2565	2331	141	6	6580	3121	1850	9
"family"	"Nitrosomonadaceae"	0	0	0	0	0	0	0	1	0
"family"	"Nocardiaceae"	0	3	0	0	0	3	0	0	0
"family"	"Orthomyxoviridae"	0	53	22	0	0	83	89	0	0
"family"	"Oscillospiraceae"	0	0	0	0	0	2	0	0	0
"family"	"Oxalobacteraceae"	0	54	23	14	0	166	160	109	1
"family"	"Paenibacillaceae"	0	0	0	0	0	1	0	0	0
"family"	"Papillomaviridae"	0	0	0	0	0	0	0	2	0
"family"	"Paramyxoviridae"	0	571	6201	9	1	1945	10017	6	2
"family"	"Pasteurellaceae"	10	8794	9196	4501	169	23320	15118	9496	160
"family"	"Peptoniphilaceae"	0	58	7	9	0	162	67	13	0
"family"	"Peptostreptococcaceae"	57	18	0	23	1	43	27	18	0
"family"	"Picornaviridae"	0	252	955	1	2	676	1526	3	0
"family"	"Piscirickettsiaceae"	0	0	0	0	0	0	0	3	0
"family"	"Planococcaceae"	0	1	0	0	0	0	1	0	0
"family"	"Podoviridae"	0	0	0	1	1	1	3	4	0
"family"	"Porphyromonadaceae"	99	137	96	20	0	326	123	62	0
"family"	"Potyviridae"	0	22	378	0	0	94	356	0	0
"family"	"Poxviridae"	0	21	41	41	9	12	0	108	4
"family"	"Prevotellaceae"	849	621	632	262	17	1668	944	956	15
"family"	"Propionibacteriaceae"	93	546	0	2	0	126	119	16	0
"family"	"Pseudoalteromonadaceae"	0	0	0	0	0	3	0	0	0
"family"	"Pseudomonadaceae"	20	1727	669	3749	10	17408	1214	37209	13
"family"	"Retroviridae"	0	0	0	106	1	4	4	624	0
"family"	"Rhizobiaceae"	0	37	0	0	0	13	0	0	0
"family"	"Rhodobacteraceae"	0	0	0	0	0	1	0	0	0
"family"	"Rhodobiaceae"	0	0	0	1	0	0	0	1	0
"family"	"Rhodocyclaceae"	0	3	0	0	0	1	0	6	0
"family"	"Rhodospirillaceae"	0	0	0	2	0	0	0	6	0
"family"	"Rikenellaceae"	18	0	0	4	0	0	0	0	0
"family"	"Ruminococcaceae"	3	0	0	0	0	2	0	2	0
"family"	"Secoviridae"	0	4	0	0	0	18	41	1	0
"family"	"Shewanellaceae"	0	0	0	1	0	0	0	0	0
"family"	"Siphoviridae"	8	18	3	19	1	3	0	121	2
"family"	"Sphingomonadaceae"	0	14	0	0	0	6	0	5	0
"family"	"Spirochaetaceae"	27	22	165	5	0	68	51	26	0
"family"	"Staphylococcaceae"	5	1605	1461	884	27	4191	3033	1508	19
"family"	"Streptococcaceae"	1058	1207	1811	1608	69	3183	1882	5256	72
"family"	"Thermaceae"	0	1	0	0	0	2	0	0	0
"family"	"Togaviridae"	0	1	0	0	0	0	0	0	0
"family"	"Veillonellaceae"	76	327	173	35	4	839	713	209	0
"family"	"Vibrionaceae"	0	1	1	0	0	7	5	5	0
"family"	"Virgaviridae"	0	101	281	0	0	188	864	0	0
"family"	"Xanthomonadaceae"	0	752	466	511	5	1124	427	6103	7
"genus"	"3alikevirus"	0	0	0	1	0	0	0	2	0
"genus"	"77likevirus"	0	0	0	1	0	0	0	1	0
"genus"	"Achromobacter"	0	39	74	132	1	48	123	953	0
"genus"	"Acidaminococcus"	0	0	0	0	2	5	1	2	0
"genus"	"Acidovorax"	1	9	0	1	0	5	0	13	0
"genus"	"Acinetobacter"	0	2606	3710	1862	74	6343	4727	3696	50
"genus"	"Actinobacillus"	0	350	552	7	0	1007	677	10	0
"genus"	"Aerococcus"	0	4	17	1	0	6	15	0	0
"genus"	"Aeromonas"	0	0	0	0	0	0	0	2	0
"genus"	"Aggregatibacter"	0	81	209	10	0	196	216	43	0
"genus"	"Agrobacterium"	0	37	0	0	0	11	0	0	0
"genus"	"Alcanivorax"	0	0	0	0	0	0	0	2	0
"genus"	"Alicycliphilus"	0	4	0	6	0	2	0	34	0
"genus"	"Alistipes"	18	0	0	4	0	0	0	0	0
"genus"	"Alphacoronavirus"	0	1026	6826	14	2	3173	15379	11	0
"genus"	"Alphapapillomavirus"	0	0	0	0	0	0	0	2	0
"genus"	"Alphatorquevirus"	0	1	0	0	0	0	0	2	0
"genus"	"Alphavirus"	0	1	0	0	0	0	0	0	0
"genus"	"Amycolicicoccus"	0	1	0	0	0	0	0	0	0
"genus"	"Anaerococcus"	0	4	0	0	0	18	24	1	0
"genus"	"Arcanobacterium"	2	0	0	0	0	0	0	7	0
"genus"	"Atopobium"	10	45	112	2	0	81	105	58	0
"genus"	"Azospira"	0	3	0	0	0	1	0	4	0
"genus"	"Azotobacter"	0	2	0	0	0	17	1	0	0
"genus"	"Bacillus"	0	8	4	1	0	7	8	2	0
"genus"	"Bacteroides"	9	20	0	25	4	31	16	85	2
"genus"	"Basfia"	0	9	3	0	0	19	3	0	0
"genus"	"Betacoronavirus"	0	5	0	0	0	44	80	0	0
"genus"	"Bibersteinia"	0	178	106	2	0	338	306	2	0
"genus"	"Bifidobacterium"	36	9	0	22	0	30	1	127	1
"genus"	"Bordetella"	0	13	12	9	0	20	9	56	0
"genus"	"Borrelia"	0	0	0	0	0	0	0	3	0
"genus"	"Bradyrhizobium"	0	1	0	0	0	1	0	0	0
"genus"	"Brevundimonas"	0	0	0	0	0	1	0	0	0
"genus"	"Brucella"	0	0	0	0	0	1	4	2	0
"genus"	"Burkholderia"	0	25	0	29	1	47	54	735	0
"genus"	"Butyrivibrio"	0	0	0	0	0	0	0	1	0
"genus"	"Campylobacter"	0	1	0	0	0	11	0	0	0
"genus"	"Capnocytophaga"	0	46	108	2	1	115	194	14	0
"genus"	"Carnobacterium"	0	11	8	1	0	26	3	2	0
"genus"	"Cellulomonas"	0	0	0	0	0	0	0	1	0
"genus"	"Chromohalobacter"	0	0	0	0	0	1	0	0	0
"genus"	"Chroococcidiopsis"	0	0	0	0	0	2	0	0	0
"genus"	"Citrobacter"	0	1	2	0	0	3	1	3	0
"genus"	"Clostridium"	0	1	0	0	0	3	0	1	0
"genus"	"Collimonas"	0	10	8	4	0	38	21	26	0
"genus"	"Comamonas"	0	1	0	0	0	1	0	1	0
"genus"	"Comovirus"	0	4	0	0	0	18	41	1	0
"genus"	"Corynebacterium"	2	2738	815	239	14	6885	1439	1758	14
"genus"	"Crinivirus"	0	0	0	0	0	6	1	0	0
"genus"	"Cronobacter"	0	27	12	9	0	47	63	39	0
"genus"	"Cryptobacterium"	4	1	0	1	0	2	0	16	0
"genus"	"Cupriavidus"	0	27	0	1	0	11	0	11	0
"genus"	"Cytomegalovirus"	0	0	0	0	0	0	0	2	0
"genus"	"D3112likevirus"	0	1	0	2	0	0	0	26	0
"genus"	"D3likevirus"	0	1	0	0	0	0	0	14	0
"genus"	"Deinococcus"	0	2	0	0	0	0	0	0	0
"genus"	"Delftia"	0	1007	1	36	0	364	0	443	0
"genus"	"Desulfovibrio"	0	0	0	0	0	2	0	0	0
"genus"	"Dickeya"	0	10	1	0	0	22	16	3	0
"genus"	"Edwardsiella"	0	5	1	0	0	18	17	1	0
"genus"	"Enterobacter"	0	298	337	48	2	757	512	415	0
"genus"	"Enterococcus"	0	169	28	246	15	386	254	473	10
"genus"	"Enterovirus"	0	252	955	1	2	676	1526	3	0
"genus"	"Erwinia"	0	8	13	1	0	24	17	0	0
"genus"	"Erythrobacter"	0	0	0	0	0	9	0	0	0
"genus"	"Escherichia"	183	1868	889	1029	36	4149	1261	4341	51
"genus"	"Exiguobacterium"	0	21	0	0	0	1	0	0	0
"genus"	"Filifactor"	57	16	0	20	0	39	27	13	0
"genus"	"Finegoldia"	0	54	7	9	0	144	43	12	0
"genus"	"Fusobacterium"	24	842	1409	97	0	2535	1471	154	0
"genus"	"Gallibacterium"	0	4	2	0	0	9	8	0	0
"genus"	"Gardnerella"	0	0	0	4	0	1	0	1	0
"genus"	"Haemophilus"	10	7904	7990	4468	168	21155	12915	9392	159
"genus"	"Herbaspirillum"	0	9	1	2	0	6	1	18	0
"genus"	"Herminiimonas"	0	20	6	5	0	45	56	32	0
"genus"	"Histophilus"	0	3	0	0	0	6	0	0	0
"genus"	"Hpunalikevirus"	0	0	0	0	0	0	0	9	0
"genus"	"Hyphomicrobium"	0	0	8	0	0	1	0	0	0
"genus"	"Influenzavirus A"	0	53	22	0	0	83	89	0	0
"genus"	"Inovirus"	0	0	104	0	0	0	13	2	0
"genus"	"Janthinobacterium"	0	15	8	3	0	77	82	33	1
"genus"	"Jonesia"	0	0	0	0	0	1	0	0	0
"genus"	"Kineococcus"	0	2	0	0	0	3	0	0	0
"genus"	"Kinetoplastibacterium"	0	0	0	0	0	0	0	1	0
"genus"	"Klebsiella"	0	373	241	1808	64	844	475	8501	53
"genus"	"Kocuria"	0	2	0	0	0	0	0	0	0
"genus"	"Kytococcus"	0	4	0	0	0	0	0	0	0
"genus"	"Lachnoclostridium"	0	1	0	0	0	0	0	0	0
"genus"	"Lactobacillus"	3	425	458	928	47	1416	1360	3086	46
"genus"	"Lactococcus"	0	10	0	0	0	4	4	0	1
"genus"	"Lambdalikevirus"	0	12	3	2	0	1	0	1	0
"genus"	"Laribacter"	0	0	0	0	0	1	0	0	0
"genus"	"Legionella"	0	3	0	0	0	10	19	0	0
"genus"	"Leifsonia"	0	1	0	0	0	0	0	0	0
"genus"	"Lentivirus"	0	0	0	2	0	0	0	6	0
"genus"	"Leptothrix"	0	0	11	0	0	0	0	0	0
"genus"	"Leptotrichia"	1	9	5	0	0	20	19	0	0
"genus"	"Leuconostoc"	0	34	0	0	0	6	0	0	0
"genus"	"Listeria"	0	0	0	0	0	0	0	0	1
"genus"	"Lymphocryptovirus"	0	0	0	2	0	0	0	4	0
"genus"	"Macrococcus"	0	1	0	0	0	3	9	1	0
"genus"	"Mageeibacillus"	3	0	0	0	0	2	0	2	0
"genus"	"Mannheimia"	0	132	300	3	0	264	852	6	0
"genus"	"Mastadenovirus"	0	2	0	2	0	3	0	22	2
"genus"	"Megasphaera"	0	1	0	0	0	1	0	0	0
"genus"	"Melissococcus"	0	0	0	0	0	0	0	1	0
"genus"	"Metapneumovirus"	0	31	25	0	0	76	250	0	0
"genus"	"Methylibium"	0	2	92	0	0	10	0	2	0
"genus"	"Methylobacterium"	0	118	0	1	0	32	0	0	0
"genus"	"Methylophaga"	0	0	0	0	0	0	0	3	0
"genus"	"Methylotenera"	0	1	2	0	0	2	0	0	0
"genus"	"Micrococcus"	0	4	0	0	0	31	0	1	0
"genus"	"Microvirus"	0	23198	45721	25107	38878	33934	62298	126558	38449
"genus"	"Mobiluncus"	0	0	0	0	0	5	0	3	0
"genus"	"Moraxella"	0	44675	18426	2376	132	101082	18851	6100	135
"genus"	"Mycobacterium"	0	1	0	2	0	2	0	10	0
"genus"	"Mycoplasma"	0	135	178	0	0	360	673	7	2
"genus"	"Neisseria"	1	2565	2331	141	6	6580	3121	1850	9
"genus"	"Nitrosomonas"	0	0	0	0	0	0	0	1	0
"genus"	"Nocardia"	0	0	0	0	0	1	0	0	0
"genus"	"Novosphingobium"	0	0	0	0	0	2	0	0	0
"genus"	"Oceanobacillus"	0	0	0	0	0	0	0	2	0
"genus"	"Ochrobactrum"	1	10	0	0	0	6	4	0	0
"genus"	"Odoribacter"	8	0	0	0	0	0	0	2	0
"genus"	"Olsenella"	0	0	0	0	0	0	0	4	0
"genus"	"Ornithobacterium"	0	1	0	0	0	2	0	0	0
"genus"	"Orthopoxvirus"	0	21	41	41	9	12	0	108	4
"genus"	"Oscillibacter"	0	0	0	0	0	2	0	0	0
"genus"	"P2likevirus"	0	0	0	3	0	0	0	4	0
"genus"	"Paenibacillus"	0	0	0	0	0	1	0	0	0
"genus"	"Pandoraea"	0	0	0	0	0	0	0	8	0
"genus"	"Pantoea"	0	2	8	0	0	14	5	2	0
"genus"	"Parabacteroides"	0	0	0	0	0	2	0	0	0
"genus"	"Paracoccus"	0	0	0	0	0	1	0	0	0
"genus"	"Paraglaciecola"	0	0	0	0	0	0	1	0	0
"genus"	"Parvibaculum"	0	0	0	1	0	0	0	1	0
"genus"	"Pasteurella"	0	133	34	11	1	326	141	43	1
"genus"	"Pectobacterium"	0	57	4	2	0	126	46	2	0
"genus"	"Pediococcus"	0	0	3	0	0	2	0	2	0
"genus"	"Peptoclostridium"	0	2	0	3	1	4	0	5	0
"genus"	"Phietalikevirus"	0	0	0	7	1	1	0	8	2
"genus"	"Phikzlikevirus"	0	0	31	4	0	1	0	9	0
"genus"	"Photobacterium"	0	0	0	0	0	2	0	0	0
"genus"	"Photorhabdus"	0	1	2	0	0	0	0	0	0
"genus"	"Pneumovirus"	0	128	1333	0	0	424	2236	4	0
"genus"	"Polerovirus"	0	0	0	0	0	1	0	0	0
"genus"	"Porphyromonas"	17	46	18	8	0	101	51	26	0
"genus"	"Potyvirus"	0	22	378	0	0	94	356	0	0
"genus"	"Prevotella"	849	621	632	262	17	1668	944	956	15
"genus"	"Propionibacterium"	93	546	0	2	0	126	119	16	0
"genus"	"Proteus"	0	65	21	189	2	177	189	415	10
"genus"	"Providencia"	0	23	2	22	0	81	177	90	1
"genus"	"Pseudoalteromonas"	0	0	0	0	0	3	0	0	0
"genus"	"Pseudomonas"	20	1725	669	3749	10	17391	1213	37209	13
"genus"	"Pseudoxanthomonas"	0	0	1	0	0	6	5	0	0
"genus"	"Psychrobacter"	0	168	10	0	0	329	9	8	0
"genus"	"Punalikevirus"	0	0	0	4	0	0	0	9	0
"genus"	"Pusillimonas"	0	0	0	0	0	1	0	0	0
"genus"	"Rahnella"	0	7	3	0	0	43	33	0	0
"genus"	"Ralstonia"	48	22	0	0	0	9	0	10	0
"genus"	"Ramlibacter"	0	1	2	0	0	2	0	0	0
"genus"	"Ranavirus"	0	0	0	0	0	0	0	1	0
"genus"	"Raoultella"	0	7	2	0	0	27	23	1	0
"genus"	"Respirovirus"	0	411	4843	9	1	1431	7529	2	2
"genus"	"Rhizobium"	0	0	0	0	0	2	0	0	0
"genus"	"Rhodococcus"	0	3	0	0	0	2	0	0	0
"genus"	"Rhodoferax"	0	0	0	0	0	1	0	0	0
"genus"	"Riemerella"	0	0	0	0	0	6	0	0	0
"genus"	"Rothia"	22	669	850	222	11	1503	1190	2507	8
"genus"	"Rubrivivax"	0	0	0	0	0	1	0	0	0
"genus"	"Rubulavirus"	0	1	0	0	0	14	2	0	0
"genus"	"Salmonella"	3	103	62	22	1	274	38	137	1
"genus"	"Sebaldella"	0	2	0	0	0	2	4	0	0
"genus"	"Selenomonas"	1	4	0	1	0	15	11	19	0
"genus"	"Serratia"	0	1075	681	134	5	2629	1386	1572	6
"genus"	"Shewanella"	0	0	0	1	0	0	0	0	0
"genus"	"Shigella"	0	97	62	17	2	193	104	105	2
"genus"	"Shimwellia"	0	11	6	0	0	21	9	0	0
"genus"	"Siccibacter"	0	1	0	1	0	1	3	3	0
"genus"	"Simplexvirus"	0	8	0	260	2	19	2	1516	3
"genus"	"Sodalis"	0	1	0	1	0	1	0	22	0
"genus"	"Solibacillus"	0	1	0	0	0	0	1	0	0
"genus"	"Sphingobium"	0	6	0	0	0	1	0	1	0
"genus"	"Sphingomonas"	0	8	0	0	0	3	0	4	0
"genus"	"Spirosoma"	0	1	0	0	0	0	0	0	0
"genus"	"Staphylococcus"	5	1604	1461	884	27	4188	3024	1507	19
"genus"	"Stenotrophomonas"	0	742	440	510	5	1102	421	6094	7
"genus"	"Streptobacillus"	2	3	8	0	0	5	0	0	0
"genus"	"Streptococcus"	1058	1197	1811	1608	69	3179	1878	5256	71
"genus"	"Tannerella"	74	91	78	12	0	223	72	34	0
"genus"	"Tetragenococcus"	0	12	0	0	0	8	0	0	0
"genus"	"Thauera"	0	0	0	0	0	0	0	2	0
"genus"	"Thermus"	0	1	0	0	0	2	0	0	0
"genus"	"Thioalkalivibrio"	0	0	0	0	0	1	0	0	0
"genus"	"Thiomonas"	0	0	0	0	0	0	0	1	0
"genus"	"Tistrella"	0	0	0	2	0	0	0	6	0
"genus"	"Tobamovirus"	0	101	281	0	0	188	864	0	0
"genus"	"Tolumonas"	0	0	0	0	0	0	0	2	0
"genus"	"Treponema"	27	22	165	5	0	68	51	26	0
"genus"	"Tropheryma"	0	408	0	10	1	1187	218	15	1
"genus"	"Ureaplasma"	0	1	0	0	0	0	0	0	0
"genus"	"Veillonella"	75	322	173	34	4	823	702	190	0
"genus"	"Vibrio"	0	1	1	0	0	5	5	5	0
"genus"	"Weeksella"	0	0	0	1	0	0	0	0	0
"genus"	"Xanthomonas"	0	9	25	1	0	12	1	7	0
"genus"	"Xenorhabdus"	0	2	0	0	0	4	9	0	0
"genus"	"Xylella"	0	1	0	0	0	4	0	2	0
"genus"	"Yersinia"	0	71	58	3	0	172	197	21	0
"order"	"Actinomycetales"	2	0	0	0	0	5	0	10	0
"order"	"Aeromonadales"	0	0	0	0	0	0	0	4	0
"order"	"Alteromonadales"	0	0	0	1	0	3	1	0	0
"order"	"Bacillales"	5	1635	1465	885	27	4200	3042	1512	20
"order"	"Bacteroidales"	975	778	728	311	21	2025	1083	1103	17
"order"	"Bifidobacteriales"	36	9	0	26	0	31	1	128	1
"order"	"Burkholderiales"	49	1204	215	228	2	688	346	2376	1
"order"	"Campylobacterales"	0	1	0	0	0	11	0	0	0
"order"	"Caudovirales"	8	20	34	33	2	5	3	162	2
"order"	"Caulobacterales"	0	0	0	0	0	1	0	0	0
"order"	"Chromatiales"	0	0	0	0	0	1	0	0	0
"order"	"Clostridiales"	60	78	7	32	1	212	94	35	0
"order"	"Coriobacteriales"	10	45	112	2	0	81	105	62	0
"order"	"Corynebacteriales"	2	2743	815	241	14	6890	1439	1768	14
"order"	"Cytophagales"	0	1	0	0	0	0	0	0	0
"order"	"Deinococcales"	0	2	0	0	0	0	0	0	0
"order"	"Desulfovibrionales"	0	0	0	0	0	2	0	0	0
"order"	"Eggerthellales"	4	1	0	1	0	2	0	16	0
"order"	"Enterobacteriales"	186	4139	2437	3287	112	9678	4592	15677	124
"order"	"Flavobacteriales"	0	48	108	3	1	124	194	14	0
"order"	"Fusobacteriales"	27	856	1422	97	0	2562	1494	154	0
"order"	"Herpesvirales"	0	8	0	262	2	19	2	1522	3
"order"	"Kineosporiales"	0	2	0	0	0	3	0	0	0
"order"	"Lactobacillales"	1061	1862	2325	2784	131	5033	3514	8820	128
"order"	"Legionellales"	0	3	0	0	0	10	19	0	0
"order"	"Methylophilales"	0	1	2	0	0	2	0	0	0
"order"	"Micrococcales"	22	1088	850	232	12	2722	1408	2524	9
"order"	"Mononegavirales"	0	571	6201	9	1	1945	10017	6	2
"order"	"Mycoplasmatales"	0	136	178	0	0	360	673	7	2
"order"	"Neisseriales"	1	2565	2331	141	6	6581	3121	1850	9
"order"	"Nidovirales"	0	1031	6826	14	2	3217	15459	11	0
"order"	"Nitrosomonadales"	0	0	0	0	0	0	0	1	0
"order"	"Oceanospirillales"	0	0	0	0	0	1	0	2	0
"order"	"Pasteurellales"	10	8794	9196	4501	169	23320	15118	9496	160
"order"	"Picornavirales"	0	256	955	1	2	694	1567	4	0
"order"	"Pleurocapsales"	0	0	0	0	0	2	0	0	0
"order"	"Propionibacteriales"	93	546	0	2	0	126	119	16	0
"order"	"Pseudomonadales"	20	49176	22815	7987	216	125162	24801	47013	198
"order"	"Rhizobiales"	1	166	8	2	0	54	8	3	0
"order"	"Rhodobacterales"	0	0	0	0	0	1	0	0	0
"order"	"Rhodocyclales"	0	3	0	0	0	1	0	6	0
"order"	"Rhodospirillales"	0	0	0	2	0	0	0	6	0
"order"	"Selenomonadales"	76	327	173	35	6	844	714	211	0
"order"	"Sphingomonadales"	0	14	0	0	0	15	0	5	0
"order"	"Spirochaetales"	27	22	165	5	0	68	51	29	0
"order"	"Thermales"	0	1	0	0	0	2	0	0	0
"order"	"Thiotrichales"	0	0	0	0	0	0	0	3	0
"order"	"Vibrionales"	0	1	1	0	0	7	5	5	0
"order"	"Xanthomonadales"	0	752	466	511	5	1124	427	6103	7
"phylum"	"Actinobacteria"	169	4434	1777	504	26	9860	3072	4524	24
"phylum"	"Bacteroidetes"	975	827	836	314	22	2149	1277	1117	17
"phylum"	"Candidatus Saccharibacteria"	0	6	0	0	0	15	0	0	0
"phylum"	"Cyanobacteria"	0	0	0	0	0	2	0	0	0
"phylum"	"Deinococcus-Thermus"	0	3	0	0	0	2	0	0	0
"phylum"	"Firmicutes"	1202	3902	3970	3736	165	10289	7364	10578	148
"phylum"	"Fusobacteria"	27	856	1422	97	0	2562	1494	154	0
"phylum"	"Proteobacteria"	267	66821	37471	16660	510	166662	48438	82551	499
"phylum"	"Spirochaetes"	27	22	165	5	0	68	51	29	0
"phylum"	"Tenericutes"	0	136	178	0	0	360	673	7	2
"replicon"	"104773257"	0	0	0	0	0	0	0	1	0
"replicon"	"104779316"	0	0	0	1	0	372	0	6	0
"replicon"	"107021562"	0	3	0	3	0	3	1	67	0
"replicon"	"107025343"	0	1	0	2	0	0	2	37	0
"replicon"	"107028231"	0	0	0	0	0	1	0	18	0
"replicon"	"108805998"	0	10	5	0	1	13	8	1	0
"replicon"	"108810166"	0	5	6	0	0	14	19	0	0
"replicon"	"10955266"	0	0	0	0	0	0	0	1	0
"replicon"	"110640213"	0	26	16	30	2	50	15	130	2
"replicon"	"110645304"	0	64	21	111	0	139	55	1369	0
"replicon"	"110801439"	0	2	0	0	0	0	0	0	0
"replicon"	"110804074"	0	16	6	2	0	26	9	12	0
"replicon"	"11095661"	0	1	27	17	23	14	30	105	33
"replicon"	"111184167"	0	2	0	0	0	0	0	0	0
"replicon"	"113460149"	0	1	0	0	0	2	0	0	0
"replicon"	"113866031"	0	1	0	0	0	0	0	0	0
"replicon"	"115345482"	0	2	0	0	0	0	0	0	0
"replicon"	"115350056"	0	0	0	0	0	2	0	4	0
"replicon"	"115357970"	0	0	0	0	0	1	1	6	0
